Term,Count,Data
work,3.7645966522493284,1
so,1.748938235832282,1
reluctant,10.088788238716907,1
put,7.335301069174803,1
pressure,22.36406207484192,1
more,0.7157871843504704,1
than,0.9796105353616322,1
80%,10.088788238716907,1
ukrainians,73.06940054027011,1
consider,9.444932048942182,1
themselves,12.70918959107004,1
indian,4.368926880629585,2
officials,4.031863203652083,2
have,0.00788335133445044,2
rescued,5.044394119358453,2
six,31.280901911988092,2
tourists,19.886530361302064,2
who,0.13836077135074829,2
were,0.6332322366110608,2
living,4.801075859167458,2
in,0.0,2
a,0.0,2
cave,178.83236159145997,2
india,9.641534512748986,2
following,13.364062260269145,2
lockdown,1.748938235832282,2
to,0.0,2
prevent,6.088788238716907,2
the,0.0,2
spread,1.8314349420432574,2
of,0.0,2
coronavirus,0.05232681729009779,2
four,7.027268948042631,2
men,19.68785672308652,2
and,0.0,2
two,2.089075541661081,2
women,14.067021609082115,2
had,0.6918038567537413,2
moved,38.55586839473065,2
rishikesh,16.378294855911893,2
northern,13.364062260269145,2
after,0.8504080364445704,2
they,1.3780490064610895,2
stranded,6.687908802434722,2
country,0.8504080364445704,2
with,0.024406934229819908,2
very,5.024212257384521,2
little,7.754887502163468,2
money,31.280901911988092,2
air,17.486885166908174,2
rail,39.77306072260413,2
road,27.713506606683215,2
transport,16.525145419707197,2
been,0.5021235283354353,2
suspended,25.70391226315377,2
since,2.815152202694561,2
24,8.73785376125917,2
march,3.0605319513174596,2
tested,7.027268948042631,2
negative,22.36406207484192,2
for,0.22283773034514998,2
covid-19,0.7641678229009397,2
private,39.37571344617304,2
quarantine,15.725521650538873,2
centre,22.23546376319828,2
said,1.2658946591810167,2
foreign,15.640450955994046,2
nationals,9.444932048942182,2
are,0.5500140949997401,2
from,0.047274007070255,2
ukraine,30.023021891371762,2
us,2.5637086814353083,2
turkey,50.89182406283629,2
france,18.536671107968665,2
nepal,66.90505605685136,2
arrived,19.68785672308652,2
separately,59.61078719715332,2
last,1.914161067822733,2
year,6.188105012022503,2
-,0.20031116101787783,2
small,4.372826248461763,2
hotels,39.77306072260413,2
lodges,59.61078719715332,2
which,0.23660926023358697,2
is,0.009008630571476143,2
popular,35.90500231892766,2
tourist,14.167398073413272,2
destination,44.60337070456758,2
foothills,59.61078719715332,2
himalayas,59.61078719715332,2
lived,32.71424758540248,2
25,4.801075859167458,2
days,2.474078394601699,2
before,4.439039471219017,2
local,12.376210024045006,2
people,0.12497825395421087,2
spotted,44.60337070456758,2
them,1.903077163012649,2
informed,32.71424758540248,2
police,12.909169064669145,2
knew,19.68785672308652,2
hindi,10.918863237274595,2
helped,23.935334248054943,2
others,5.690872640123526,2
go,5.024212257384521,2
out,1.9954898404931078,2
buy,6.27500704749987,2
provisions,50.89182406283629,2
whatever,9.444932048942182,2
"""after",39.77306072260413,2
receiving,39.77306072260413,2
information,12.70918959107004,2
we,2.747152413064886,2
went,10.008688740520855,2
found,4.474078394601698,2
foreigners,44.60337070456758,2
told,2.294088714567101,2
that,0.11141886517257499,2
decided,5.913862556216229,2
move,13.364062260269145,2
into,2.323502139993224,2
because,1.8314349420432574,2
running,15.640450955994046,2
did,7.659160054475714,2
their,0.4474110864494121,2
medical,3.5179838009924103,2
tests,5.041664326602881,2
sent,15.640450955994046,2
"""",0.8010758591674577,2
official,7.659160054475714,2
rakendra,59.61078719715332,2
singh,44.60337070456758,2
kathait,10.918863237274595,2
journalist,30.023021891371762,2
raju,10.088788238716907,2
gusain,10.918863237274595,2
now,1.5179838009924103,2
lodged,59.61078719715332,2
religious,7.7489382358322825,2
retreat,10.918863237274595,2
accommodation,59.61078719715332,2
food,3.913862556216228,2
being,1.7517040506762707,2
paid,6.918863237274595,2
by,0.15258370124553888,2
government,0.896071396726022,2
the,0.0,3
world's,7.820225477997023,3
orthodox,328.81230243121547,3
christians,36.534700270135055,3
are,0.9625246662495451,3
celebrating,29.80539359857666,3
easter,107.71500695678297,3
-,0.10015558050893891,3
most,1.914161067822733,3
important,14.067021609082115,3
festival,73.06940054027011,3
in,0.0,3
their,0.7456851440823534,3
calendar,99.24697701770393,3
amid,23.935334248054943,3
a,0.0,3
series,8.088788238716907,3
of,0.0,3
restrictions,11.002951603762204,3
and,0.0,3
bans,15.13318235807536,3
officials,2.6879088024347224,3
europe,14.067021609082115,3
middle,23.935334248054943,3
east,32.71424758540248,3
africa,27.713506606683215,3
urged,23.935334248054943,3
people,0.4999130158168435,3
not,1.8175627977438382,3
to,0.0,3
attend,99.43265180651032,3
services,15.725521650538873,3
fearing,50.89182406283629,3
this,0.987818028779265,3
would,1.2687181086750996,3
lead,10.088788238716907,3
spike,9.444932048942182,3
coronavirus,0.05232681729009779,3
infections,5.93377841091449,3
however,7.536318386076782,3
georgia,73.06940054027011,3
worshippers,101.78364812567258,3
still,3.325654631579308,3
able,9.560804699618089,3
churches,178.83236159145997,3
traditional,45.03453283705764,3
holy,545.8583735973716,3
fire,107.71500695678297,3
ceremony,146.13880108054022,3
went,15.013033110781285,3
ahead,33.050290839414394,3
near-deserted,14.088788238716907,3
church,387.4701167814966,3
sepulchre,148.87046552655588,3
jerusalem,148.87046552655588,3
was,0.4021794928247465,3
closed,16.525145419707197,3
last,1.914161067822733,3
month,3.169925001442312,3
only,2.6839409995613144,3
handful,73.06940054027011,3
clergy,148.87046552655588,3
some,0.4221548244073739,3
them,2.537436217350199,3
wearing,20.95684552972425,3
black,59.61078719715332,3
masks,5.4449320489421815,3
were,0.6332322366110608,3
allowed,5.276975701488615,3
for,0.27854716293143744,3
on,0.06797456722089068,3
saturday,47.870668496109886,3
candle,99.24697701770393,3
is,0.018017261142952285,3
traditionally,15.13318235807536,3
lit,59.61078719715332,3
with,0.048813868459639816,3
crypt,99.24697701770393,3
by,0.38145925311384715,3
greek,14.088788238716907,3
patriarch,148.87046552655588,3
theophilos,148.87046552655588,3
iii,148.87046552655588,3
symbolise,99.24697701770393,3
resurrection,99.24697701770393,3
jesus,99.24697701770393,3
instead,16.525145419707197,3
flame,148.87046552655588,3
being,2.627556076014406,3
passed,30.023021891371762,3
thousands,12.376210024045006,3
pilgrims,9.444932048942182,3
time,2.1815181531010386,3
attended,39.77306072260413,3
armenian,99.24697701770393,3
four,7.027268948042631,3
assistants,14.088788238716907,3
coptic,198.49395403540785,3
syrian,99.24697701770393,3
archbishops,99.24697701770393,3
israeli,73.06940054027011,3
media,10.008688740520855,3
report,5.4449320489421815,3
bells,59.61078719715332,3
tolled,99.24697701770393,3
carried,7.7489382358322825,3
out,1.9954898404931078,3
others,5.690872640123526,3
be,0.7456524969235255,3
taken,19.121609399236178,3
ben,99.24697701770393,3
gurion,99.24697701770393,3
airport,32.71424758540248,3
near,22.23546376319828,3
tel,99.24697701770393,3
aviv,99.24697701770393,3
flown,10.918863237274595,3
10,4.801075859167458,3
countries,4.439039471219017,3
russia's,8.088788238716907,3
agreed,30.023021891371762,3
break,32.71424758540248,3
its,2.4011797630420624,3
annual,59.61078719715332,3
traditions,99.24697701770393,3
urging,44.60337070456758,3
millions,12.097607773505752,3
believers,24.177576477433814,3
usually,7.7489382358322825,3
late-night,14.088788238716907,3
processions,73.06940054027011,3
receive,66.90505605685136,3
blessings,99.24697701770393,3
year,6.188105012022503,3
held,22.23546376319828,3
presence,39.77306072260413,3
priests,182.67350135067528,3
other,3.1336133124916214,3
ukraine,30.023021891371762,3
police,9.68187679850186,3
now,1.5179838009924103,3
deployed,59.6595910839062,3
capital,6.412510571249806,3
kyiv,12.088788238716907,3
elsewhere,9.711117591902548,3
prevent,21.310758835509173,3
from,0.03151600471350333,3
gathering,44.60337070456758,3
large,12.70918959107004,3
numbers,4.474078394601698,3
greece,14.088788238716907,3
authorities,8.53630896018529,3
using,22.23546376319828,3
drones,99.24697701770393,3
monitor,9.444932048942182,3
situation,5.169925001442312,3
road,27.713506606683215,3
blocks,99.24697701770393,3
have,0.01576670266890088,3
been,0.627654410419294,3
set,7.659160054475714,3
up,1.9954898404931078,3
customary,99.24697701770393,3
exodus,50.89182406283629,3
several,3.3736842294807396,3
million,3.612426865103032,3
countryside,10.918863237274595,3
islands,73.06940054027011,3
when,1.5293924763780675,3
arrived,19.68785672308652,3
athens,21.13318235807536,3
evening,39.77306072260413,3
it,0.19781414215836163,3
patriarchate,99.24697701770393,3
distributed,76.33773609425444,3
has,0.040678223716366514,3
backed,39.77306072260413,3
ban,27.713506606683215,3
greeks,99.24697701770393,3
holiday,12.71111759190255,3
visit,31.43526829458638,3
relatives,8.918863237274595,3
or,1.728206115056524,3
second,12.097607773505752,3
homes,8.948156789203397,3
also,0.5167683774229086,3
nativity,14.088788238716907,3
palestinian,73.06940054027011,3
town,7.7489382358322825,3
bethlehem,99.24697701770393,3
occupied,99.24697701770393,3
west,9.444932048942182,3
bank,6.918863237274595,3
egypt's,99.24697701770393,3
pope,99.24697701770393,3
tawadros,99.24697701770393,3
ii,99.24697701770393,3
good,14.067021609082115,3
friday,5.169925001442312,3
service,37.07334221593733,3
without,10.008688740520855,3
congregation,59.61078719715332,3
at,0.1737492644275901,3
monastery,73.06940054027011,3
north-east,10.918863237274595,3
cairo,99.24697701770393,3
televised,10.088788238716907,3
live,7.027268948042631,3
tv,44.60337070456758,3
channels,14.088788238716907,3
showed,30.023021891371762,3
deacons,14.088788238716907,3
gathered,39.77306072260413,3
gaps,99.24697701770393,3
between,4.0,3
spread,2.747152413064886,3
covid-19,1.1462517343514096,3
romania,14.088788238716907,3
told,2.294088714567101,3
they,0.3445122516152724,3
will,1.8981540441100229,3
leave,23.935334248054943,3
night,6.088788238716907,3
take,4.372826248461763,3
bread,73.06940054027011,3
splashed,14.088788238716907,3
water,25.70391226315377,3
wine,73.06940054027011,3
as,0.06057246397212757,3
who,0.27672154270149657,3
request,44.60337070456758,3
president,5.024212257384521,3
klaus,99.24697701770393,3
iohannis,14.088788238716907,3
appealed,8.918863237274595,3
romanians,14.088788238716907,3
give,9.13318235807536,3
idea,23.935334248054943,3
having,10.008688740520855,3
loved,35.90500231892766,3
ones,20.95684552972425,3
close,12.097607773505752,3
order,14.823642508798851,3
virus,0.8504080364445704,3
bulgaria,12.088788238716907,3
imposed,5.7489382358322825,3
curfew,59.6595910839062,3
sofia,99.24697701770393,3
stop,14.341207049427133,3
traffic,59.61078719715332,3
city,3.0605319513174596,3
heading,50.89182406283629,3
off,12.097607773505752,3
serbia,99.24697701770393,3
montenegro,99.24697701770393,3
celebrate,59.61078719715332,3
home,2.2774654140056243,3
but,0.10424955865655404,3
north,22.36406207484192,3
macedonia's,99.24697701770393,3
says,1.5293924763780675,3
use,8.73785376125917,3
force,22.36406207484192,3
going,3.169925001442312,3
rayhan,99.24697701770393,3
demytrie,99.24697701770393,3
bbc,3.1905118206398497,3
news,3.748938235832282,3
tbilisiit's,99.24697701770393,3
never,13.364062260269145,3
quiet,50.89182406283629,3
tbilisi,99.24697701770393,3
government,1.3441070950890328,3
banned,6.918863237274595,3
movement,17.486885166908174,3
all,1.209347092789984,3
private,19.68785672308652,3
cars,39.77306072260413,3
sunday,10.483681100359249,3
cemeteries,14.088788238716907,3
which,0.35491389035038046,3
georgians,21.13318235807536,3
monday,9.137842628086778,3
shut,15.640450955994046,3
those,1.8717393251605687,3
violating,59.61078719715332,3
state,2.2774654140056243,3
emergency,10.988244469972477,3
law,32.71424758540248,3
among,5.690872640123526,3
gatherings,27.713506606683215,3
more,0.7157871843504704,3
than,0.9796105353616322,3
three,5.93377841091449,3
face,9.137842628086778,3
hefty,14.088788238716907,3
fines,50.89182406283629,3
almost,10.483681100359249,3
£800,99.24697701770393,3
($1,73.06940054027011,3
000;,73.06940054027011,3
€900),99.24697701770393,3
yet,8.73785376125917,3
many,1.2687181086750996,3
questioning,50.89182406283629,3
why,19.68785672308652,3
made,4.820767256374493,3
an,0.20031116101787783,3
exception,9.444932048942182,3
continued,19.68785672308652,3
worship,14.088788238716907,3
freely,10.918863237274595,3
across,3.612426865103032,3
country,1.2756120546668555,3
since,2.815152202694561,3
crisis,6.188105012022503,3
began,8.0,3
refused,35.90500231892766,3
adapt,73.06940054027011,3
customs,59.61078719715332,3
continue,9.560804699618089,3
communion,99.24697701770393,3
shared,35.90500231892766,3
spoon,99.24697701770393,3
least,8.0,3
two,2.089075541661081,3
already,4.2598812989565635,3
tested,7.027268948042631,3
positive,5.690872640123526,3
midnight,59.61078719715332,3
parishioners,99.24697701770393,3
welcomed,10.088788238716907,3
tbilisi's,99.24697701770393,3
sameba,99.24697701770393,3
cathedral,99.24697701770393,3
despite,11.525164702740273,3
country's,7.027268948042631,3
health,1.043914313030126,3
pleaded,99.24697701770393,3
listen,12.088788238716907,3
science,44.60337070456758,3
sake,99.24697701770393,3
acrid,7.044394119358453,4
smoke,49.62348850885196,4
from,0.015758002356751667,4
wildfires,99.24697701770393,4
including,1.9615064922026777,4
blazes,49.62348850885196,4
near,7.411821254399426,4
the,0.0,4
defunct,49.62348850885196,4
chernobyl,248.1174425442598,4
nuclear,99.24697701770393,4
plant,15.13318235807536,4
has,0.032542578973093206,4
blanketed,7.044394119358453,4
ukraine's,10.918863237274595,4
capital,2.137503523749935,4
kyiv,18.13318235807536,4
making,5.494122234986238,4
its,0.800393254347354,4
air,26.230327750362257,4
pollution,148.87046552655588,4
among,2.845436320061763,4
worst,34.97377033381635,4
in,0.0,4
world,5.199308730298342,4
kyiv's,248.1174425442598,4
now,2.2769757014886154,4
ranks,12.088788238716907,4
alongside,73.06940054027011,4
that,0.22283773034514998,4
of,0.0,4
several,3.3736842294807396,4
chinese,44.60337070456758,4
cities,13.70676394213017,4
swiss,12.088788238716907,4
monitoring,50.89182406283629,4
group,4.801075859167458,4
iqair,148.87046552655588,4
reports,13.70676394213017,4
coronavirus,0.07849022593514669,4
lockdown,1.748938235832282,4
is,0.013512945857214213,4
keeping,8.4740783946017,4
most,1.914161067822733,4
residents,6.088788238716907,4
at,0.10424955865655404,4
home,2.2774654140056243,4
anyway,9.444932048942182,4
health,1.5658714695451892,4
ministry,28.13404321816423,4
says,1.5293924763780675,4
radiation,99.24697701770393,4
levels,44.60337070456758,4
remain,4.801075859167458,4
normal,6.088788238716907,4
and,0.0,4
faces,25.70391226315377,4
no,2.134228391717074,4
immediate,73.06940054027011,4
threat,20.95684552972425,4
one,1.209347092789984,4
point,18.536671107968665,4
on,0.018538518332970187,4
thursday,24.787718129560794,4
according,3.612426865103032,4
to,0.0,4
index,99.24697701770393,4
was,0.20108974641237326,4
but,0.10424955865655404,4
dramatic,10.918863237274595,4
global,10.988244469972477,4
slump,73.06940054027011,4
economic,13.364062260269145,4
activity,19.68785672308652,4
caused,27.713506606683215,4
by,0.30516740249107777,4
pandemic,2.699331097276546,4
made,4.820767256374493,4
many,1.2687181086750996,4
cleaner,99.24697701770393,4
partly,10.918863237274595,4
explains,14.088788238716907,4
why,19.68785672308652,4
smog,148.87046552655588,4
looks,8.4740783946017,4
especially,23.935334248054943,4
bad,35.90500231892766,4
scene,10.918863237274595,4
world's,15.640450955994046,4
disaster,50.89182406283629,4
1986,148.87046552655588,4
when,1.5293924763780675,4
an,0.20031116101787783,4
accident,73.06940054027011,4
blew,73.06940054027011,4
roof,99.24697701770393,4
off,12.097607773505752,4
a,0.0,4
reactor,99.24697701770393,4
sending,50.89182406283629,4
radioactive,21.13318235807536,4
plume,99.24697701770393,4
across,3.612426865103032,4
europe,14.067021609082115,4
firefighters,99.24697701770393,4
have,0.00394167566722522,4
been,0.25106176416771764,4
tackling,10.918863237274595,4
zone,16.378294855911893,4
areas,13.364062260269145,4
nearer,14.088788238716907,4
there,0.8889625543426517,4
new,2.815152202694561,4
flare-up,99.24697701770393,4
fanned,99.24697701770393,4
strong,8.918863237274595,4
winds,99.24697701770393,4
emergency,10.988244469972477,4
services,10.483681100359249,4
say,3.612426865103032,4
fire,35.90500231892766,4
not,0.6058542659146128,4
spread,1.8314349420432574,4
power,35.90500231892766,4
station,44.60337070456758,4
area,19.68785672308652,4
surrounded,73.06940054027011,4
30km,99.24697701770393,4
(19,99.24697701770393,4
mile)-radius,99.24697701770393,4
exclusion,99.24697701770393,4
created,35.90500231892766,4
because,1.8314349420432574,4
hotspots,8.088788238716907,4
it,0.07912565686334465,4
includes,25.70391226315377,4
abandoned,10.918863237274595,4
settlement,99.24697701770393,4
pripyat,99.24697701770393,4
urged,23.935334248054943,4
roughly,7.7489382358322825,4
3,10.988244469972477,4
7m,99.24697701770393,4
people,0.12497825395421087,4
stay,4.687908802434722,4
indoors,59.61078719715332,4
close,12.097607773505752,4
windows,10.918863237274595,4
reuters,59.61078719715332,4
news,3.748938235832282,4
agency,19.68785672308652,4
warns,39.77306072260413,4
can,1.7517040506762707,4
cause,7.4449320489421815,4
headaches,99.24697701770393,4
coughs,73.06940054027011,4
difficulty,44.60337070456758,4
breathing,30.023021891371762,4
inflammation,99.24697701770393,4
president,22.608955158230344,5
donald,6.474078394601698,5
trump,20.6985189467568,5
has,0.11389902640582623,5
said,2.2153156535667793,5
he,2.586999828180214,5
will,2.847231066165034,5
sign,16.35712379270124,5
an,0.8012446440715113,5
executive,23.935334248054943,5
order,37.05910627199713,5
to,0.0,5
temporarily,66.90505605685136,5
suspend,73.06940054027011,5
all,4.232714824764944,5
immigration,365.34700270135056,5
the,0.0,5
us,9.400265165262798,5
because,2.747152413064886,5
of,0.0,5
coronavirus,0.07849022593514669,5
on,0.1483081466637615,5
twitter,102.81564905261509,5
cited,50.89182406283629,5
"""the",4.40322659070365,5
attack,33.54609311226288,5
from,0.17333802592426834,5
invisible,76.33773609425444,5
"enemy""",99.24697701770393,5
as,0.4845797117770206,5
calls,25.70391226315377,5
virus,1.2756120546668555,5
and,0.0,5
need,11.002951603762204,5
protect,12.948156789203397,5
jobs,49.57543625912159,5
americans,71.81000463785531,5
but,0.24324897019862612,5
did,7.659160054475714,5
not,1.8175627977438382,5
give,6.088788238716907,5
details,76.33773609425444,5
it,0.3165026274533786,5
was,0.4021794928247465,5
clear,31.43526829458638,5
what,4.625860937864279,5
programmes,35.90500231892766,5
might,12.70918959107004,5
be,2.0505443665396954,5
affected,23.050329405480547,5
whether,12.097607773505752,5
would,3.806154326025298,5
able,9.560804699618089,5
carry,10.088788238716907,5
out,1.3303265603287384,5
critics,25.70391226315377,5
say,7.224853730206064,5
government,0.896071396726022,5
is,0.03603452228590457,5
using,22.23546376319828,5
pandemic,10.797324389106183,5
crack,99.24697701770393,5
down,5.745333307240461,5
traditionally,10.088788238716907,5
been,0.627654410419294,5
a,0.0,5
strong,8.918863237274595,5
campaigning,73.06940054027011,5
theme,73.06940054027011,5
for,0.5570943258628749,5
mr,10.797324389106183,5
taken,19.121609399236178,5
back,5.418640297654547,5
seat,50.89182406283629,5
during,2.9188632372745946,5
in,0.0,5
lead-up,14.088788238716907,5
november,66.90505605685136,5
election,76.33773609425444,5
light,66.90505605685136,5
enemy,73.06940054027011,5
well,6.188105012022503,5
our,8.878078942438034,5
great,31.43526829458638,5
american,55.910155187104806,5
citizens,20.95684552972425,5
i,4.820767256374493,5
signing,73.06940054027011,5
into,5.80875534998306,5
united,24.787718129560794,5
states,17.584742900845825,5
end,8.359094630534852,5
post,18.612330122355452,5
by,1.0680859087187722,5
@realdonaldtrumpmr,99.24697701770393,5
trump's,89.76250579731914,5
announcement,25.221970596792268,5
late,6.918863237274595,5
monday,27.41352788426034,5
came,9.560804699618089,5
white,13.375817604869445,5
house,33.050290839414394,5
argued,39.77306072260413,5
that,0.44567546069029995,5
worst,17.486885166908174,5
over,5.0,5
country,2.126020091111426,5
could,6.0,5
begin,16.525145419707197,5
reopening,13.378294855911893,5
restrictions,18.338252672937006,5
people's,44.60337070456758,5
movement,17.486885166908174,5
implemented,44.60337070456758,5
many,1.903077163012649,5
curb,22.36406207484192,5
spread,1.8314349420432574,5
have,0.00985418916806305,5
paralysed,12.088788238716907,5
parts,14.067021609082115,5
economy,10.483681100359249,5
past,10.988244469972477,5
four,10.540903422063947,5
weeks,7.536318386076782,5
more,1.789467960876176,5
than,2.4490263384040807,5
20,10.988244469972477,5
million,5.418640297654547,5
registered,35.90500231892766,5
unemployment,39.77306072260413,5
benefits,73.06940054027011,5
amounts,50.89182406283629,5
roughly,7.7489382358322825,5
employers,44.60337070456758,5
had,0.41508231405224477,5
added,7.659160054475714,5
previous,25.70391226315377,5
decade,59.61078719715332,5
787,99.24697701770393,5
000,3.8880378933177595,5
confirmed,4.087994253755606,5
cases,1.9954898404931078,5
covid-19,0.7641678229009397,5
42,73.06940054027011,5
deaths,2.85936855048649,5
according,7.224853730206064,5
tally,50.89182406283629,5
johns,23.935334248054943,5
hopkins,6.918863237274595,5
university,9.137842628086778,5
which,0.23660926023358697,5
tracking,8.088788238716907,5
globally,8.4740783946017,5
campaign,27.713506606683215,5
statement,18.536671107968665,5
tuesday,20.04609339040372,5
move,33.41015565067286,5
two,2.089075541661081,5
functions,59.61078719715332,5
-,0.9014002245804502,5
prevent,6.088788238716907,5
competition,99.24697701770393,5
add,59.61078719715332,5
dole,99.24697701770393,5
queues,59.61078719715332,5
depress,14.088788238716907,5
wages,32.71424758540248,5
stop,14.341207049427133,5
imported,73.06940054027011,5
infections,8.900667616371736,5
immediately,44.60337070456758,5
who,1.1068861708059863,5
or,1.1521374100376827,5
when,2.294088714567101,5
such,3.0605319513174596,5
come,5.93377841091449,5
force,22.36406207484192,5
new,4.2227283040418415,5
york,23.935334248054943,5
times,4.088788238716907,5
citing,50.89182406283629,5
several,6.747368458961479,5
people,0.43742388883973804,5
familiar,59.61078719715332,5
with,0.06508515794618641,5
plan,25.70391226315377,5
formal,50.89182406283629,5
barring,99.24697701770393,5
provision,99.24697701770393,5
green,12.088788238716907,5
cards,73.06940054027011,5
work,9.411491630623322,5
visas,148.87046552655588,5
one,2.418694185579968,5
way,6.734015139394798,5
implementing,50.89182406283629,5
measure;,99.24697701770393,5
administration,18.536671107968665,5
no,3.201342587575611,5
longer,23.935334248054943,5
approve,99.24697701770393,5
any,4.625860937864279,5
applications,50.89182406283629,5
foreigners,44.60337070456758,5
live,7.027268948042631,5
undetermined,99.24697701770393,5
period,30.023021891371762,5
time,2.1815181531010386,5
last,3.828322135645466,5
month,4.754887502163468,5
suspended,25.70391226315377,5
almost,10.483681100359249,5
visa,73.06940054027011,5
processing,59.61078719715332,5
including,7.846025968810711,5
immigrants,109.60410081040516,5
already,6.389821948434845,5
